Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Quantity;Summary;Description;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)
;1;ASSAM DIKOM STGFOPI;Herbata,Klasyczna,Herbata Czarna,Herbaty indyjskie Assam,Herbaty do biura;15.95;1;66;Mocna i cierpka herbata o głębokim kolorze naparu.;Prowincja Assam to region na północnym wschodzie Indii, gdzie uprawia się odmianę herbaty o nazwie Camellia assamica, której liście ze względu na wysoką jakość są często stosowane do uszlachetniania mieszanek gorszego gatunku. Odmiana Assam Dikom STGFOP (Special Finest Tippy Golden Flowery Orange Pekoe) jest uznawana za rarytas jakościowy, zawierający bardzo drobne, starannie wyselekcjonowane listki o równomiernej wielkości. Dzięki właściwemu zaparzeniu uzyskuje się aromatyczny, ciemnoczerwony napar o naturalnym miodowym posmaku.;1;http://localhost/images/product_images/assamdikomstgfopi/img_0.jpg;1
;1;ASSAM TGFOP DEKORAI;Herbata,Klasyczna,Herbata Czarna,Herbaty indyjskie Assam,Herbaty do restauracji;16.45;1;27;Wyśmienita herbata czarna  o wyrazistym smaku.;Prowincja Assam to region na północnym wschodzie Indii, gdzie uprawia się odmianę herbaty o nazwie Camellia assamica. Ze względu na wysoką jakość liście tej odmiany są często stosowane do uszlachetniania mieszanek herbat niższego gatunku. Herbaty z regionu Assam są zaliczane do pięciu najlepszych herbat na świecie. Standard TGFOP (Tippy Golden Flowery Orange Pekoe) oznacza główną klasę herbat pochodzących z regionów Assam oraz Darjeeling, zawierających duże ilości tzw. złotych tipsów, czyli dwóch pierwszych listków z krzewu wraz z pączkami. Napar posiada barwę brązowo-bursztynową i mocny, cierpkawy, ale równocześnie słodki smak. Filiżanka herbaty Assam dodaje energii i doskonale orzeźwia.;1;http://localhost/images/product_images/assamtgfopdekorai/img_0.jpg;1
;1;CEYLON HIGH GROWN OP;Herbata,Klasyczna,Herbata Czarna,Herbaty cejlońskie,Herbaty do restauracji,Herbaty do biura;15.45;1;64;Czarna herbata o delikatnym aromacie z wyczuwalnym kwiatowym akcentem.;W przypadku Cejlonu (Sri Lanka) herbatę uprawia się praktycznie od poziomu morza, aż po szczyty centralnie położonego masywu górskiego (ok. 2300 m n.p.m). Najlepsze gatunki pochodzą z upraw wysokogórskich usytuowanych powyżej 1200 m n.p.m. Ceylon High Grown OP (Orange Pekoe) to propozycja herbaty czarnej o długich, spiczastych liściach, sporadycznie zawierającej złotawe tipsy Napar charakteryzuje się delikatnym aromatem, orzeźwiającym smakiem oraz czerwono- złotą barwą.;1;http://localhost/images/product_images/ceylonhighgrownop/img_0.jpg, http://localhost/images/product_images/ceylonhighgrownop/img_1.jpg;1
;1;DA HONG PAO STD;Herbata,Klasyczna,Herbata Czarna,Herbaty chińskie;27.95;1;14;Herbata turkusowa z Chin.;Da Hong Pao to legenda wśród herbat należących do grupy herbat turkusowych – Oolong. Pochodzi z gór Wu Yi Shan w chińskiej prowincji Fujian. Górski klimat i skłąd gleby wpływają na smak rosnącej w tym rejonie herbaty, nazywanej w związku z tym skalną. Nazwa Da Hong Pao nawiązuje do legendy i oznacza Wielką Czerwoną Szatę. Susz ciemnej barwy i pozawijane listki oraz pomarańczowo-złotą wręcz miodowa barwę, a w zapachu wyczuwalne są nuty orzechowe oraz drzewne lekko palone dymne. Smak odrobinę ściągający, przeradzający się w karmelową słodycz. Herbata oolong po zbiorze jest poddawana procesowi więdnięcia, a następnie jest przekładana do specjalnych koszy , w których jest potrząsana. Podczas tego procesu listki obcierają się o brzegi kosza, przez co powstają w nich drobne uszkodzenia. Dzięki tym obtarciom z tkanek liści uwalniają się soki, które pomagają przy późniejszej oksydacji. Proces obcierania i utleniania liści jest powtarzalny kilkakrotnie, dzięki czemu możliwa jest duża kontrola nad stopniem utleniania herbat. W zależności od gatunku utlenia się od kilku do nawet 90 procent. Da Hong Pao należy do tych wysoko utlenionych – powyżej 60%.;1;http://localhost/images/product_images/dahongpaostd/img_0.jpg;1
;1;DARJEELING FIRST FLUSH;Herbata,Klasyczna,Herbata Czarna,Herbaty w puszkach firmowych,Herbaty Indyjskie Darjeeling,Herbaty do kawiarni;24.45;1;22;Herbata indyjska Darjeeling z pierwszego zbioru.;Darjeeling jest niewielkim regionem w Indiach (pomiędzy Nepalem i Bhutanem) położonym na wysokości ponad 2200 m n.p.m. o umiarkowanym klimacie, sprzyjającym rozwojowi turystyki. Plantacje gatunku Darjeeling dostarczają ok. 4-5% całej produkcji herbaty w Indiach. Ze względy na wysoką jakość upraw praktycznie cały zbiór jest przeznaczony na eksport. Dobrej jakości towarzyszą wysokie ceny osiągane przez ten gatunek herbaty na światowych rynkach. Szczególną popularnością cieszy się herbata z pierwszego zbioru w sezonie (First Flush), której sprzedaż i dystrybucja jest starannie reglamentowana. Herbata indyjska z pierwszego zbioru (First Flush) daje napar o jasnym, złotawym odcieniu i wyśmienitym kwiatowym aromacie.;1;http://localhost/images/product_images/darjeelingfirstflush/img_0.jpg, http://localhost/images/product_images/darjeelingfirstflush/img_1.jpg;1
;1;DARJEELING LOTNICZY BALASUN FTGFOPI;Herbata,Klasyczna,Herbata Czarna,Herbaty Indyjskie Darjeeling;79.95;1;51;Darjeeling Lotniczy Balasun - nasza wyjątkowa propozycja.;Miłośnicy herbaty z niecierpliwością wyczekiwali wiosny i pierwszych zbiorów świeżej herbaty. Darjeeling Lotniczy Balasun to wyjątkowa propozycja, która zachwyca bukietem aromatów i smaków. W trakcie zbiorów zwraca się szczególną uwagę na listki, aby nie zostały uszkodzone. Zbierane są tylko dwa pierwsze listki, które otulają pączek. Darjeeling Lotniczy to propozycja wyselekcjonowanej herbaty czarnej, która w wyglądzie przypomina zieloną z uwagi na kolor listków. Nasza propozycja Darjeelinga Lotniczego Balasun to herbata pochodząca z jednego z najbardziej znanych ogrodów założonych w 1871 roku niedaleko rzeki Balasun w rejonie miasta Kurseong. Plantacje rozpościerają się aż na 181 ha i położone są na wysokości od 365 do 1375 m n.p.m. W nutach smakowych odnajdziemy delikatnie pikantny posmak gałki muszkatołowej. W bukiecie aromatów dominują świeże kwiaty. Listki zachwycają świeżym kolorem. Po zaparzeniu rozwijają się, ukazując cały kształt. Napar ma piękną, bursztynową barwę.;1;http://localhost/images/product_images/darjeelinglotniczybalasunftgfopi/img_0.jpg;1
;1;DARJEELING MIRIK VALLEY FIRST FLUSH;Herbata,Klasyczna,Herbata Czarna,Cyber Monday,Herbaty Indyjskie Darjeeling;29.95;1;48;Herbata z pierwszego zbioru w Dolinie Mirik.;Darjeeling Mirik Valley first flush to herbata zbierana w pierwszym okresie zbiorów w regionie Darjeeling. Pochodzi z ogrodów położonych w Dolinie Mirik, która znajduje się na wysokości od 980 do 2440 m n.p.m. Powierzchnia upraw zajmuje około 485 hektarów. Herbata została ręcznie zebrana, a do produkcji użyto wyselekcjonowanych listków już z rozwiniętych pączków. Uzyskany napar wyróżnia się złocistożółtą barwą. W smaku charakteryzuje się intensywnymi i wyrazistymi nutami o delikatnie pikantnym posmaku.;1;http://localhost/images/product_images/darjeelingmirikvalleyfirstflush/img_0.jpg;1
;1;DARJEELING SECOND FLUSH;Herbata,Klasyczna,Herbata Czarna,Herbaty Indyjskie Darjeeling;27.95;1;27;Herbata indyjska Darjeeling z drugiego zbioru.;Darjeeling jest niewielkim regionem w Indiach (pomiędzy Nepalem i Bhutanem) położonym na wysokości ponad 2200 m n.p.m. o umiarkowanym klimacie, sprzyjającym rozwojowi turystyki. Plantacje gatunku Darjeeling dostarczają ok. 4-5% całej produkcji herbaty w Indiach. Ze względu na wysoką jakość upraw praktycznie cały zbiór jest przeznaczony na eksport. Dobrej jakości towarzyszą wysokie ceny osiągane przez ten gatunek herbaty na światowych rynkach. Drugi zbiór (Second Flush) Darjeeling trwa od początku maja do końca czerwca i towarzyszą mu często opady monsunowe, dzięki czemu krzewostan ulega szybkiemu rozrostowi dając obfite zbiory niewielkich liści. Herbata tego rodzaju cieszy się dużą popularnością i jest uznawana za produkt bardzo wysokiej jakości. Herbata Darjeeling SF jest wytwarzana z najmłodszych pędów, którym zawdzięcza delikatny napar o jasno-złotawym kolorze i lekki, odrobinę słodkawy smak.;1;http://localhost/images/product_images/darjeelingsecondflush/img_0.jpg;1
;1;ENGLISH BREAKFAST;Herbata,Klasyczna,Herbata Czarna,Herbaty po angielsku,Herbaty cejlońskie;21.45;1;11;Popularna kompozycja dwóch czarnych herbat gatunków Assam i Cejlon.;Popularna kompozycja dwóch czarnych herbat gatunków Assam i Cejlon. Dedykowana jest do spożycia w godzinach porannych. Charakteryzuje się mocnym i wyrazistym smakiem i brązowo-bursztynową barwą. Herbata English Breakfast według wielu źródeł została wymyślona przez XIX–wiecznego brytyjskiego kupca z przeznaczeniem do spożycia przy śniadaniu. Duża moc naparu miała wpłynąć pobudzającą na pijącą ją osobę. Obecnie praktycznie każdy szanujący się producent herbaty posiada w ofercie autorską wersję kompozycji i nazywa ją oczywiście… English Breakfast, chociaż częstokroć znacznie różnią się między sobą zawartością. W naszym przypadku jest to kompozycja gatunkowych czarnych herbat pochodzących z Indii i Cejlonu.;1;http://localhost/images/product_images/englishbreakfast/img_0.jpg, http://localhost/images/product_images/englishbreakfast/img_1.jpg;1
;1;GOLDEN YUNNAN;Herbata,Klasyczna,Herbata Czarna,Herbaty chińskie Yunnan,Herbaty do restauracji;24.95;1;3;"Czarna herbata o dużej ilości złotych ""tipsów"".";"Herbata pochodzi z górskiej prowincji Yunnan położonej w Chinach przy granicy z Wietnamem, Birmą i Laosem, a rosnące w tym regionie krzewy herbaciane charakteryzują się szerokimi i mięsistymi liśćmi o połyskującej powierzchni. W prowincji spotyka się ok. 200 lokalnych gatunków herbat z których wiele jest uznawane za jedne z najszlachetniejszych rodzajów klasycznej herbaty na świecie. Golden Yunnan swoją nazwę zawdzięcza dużej ilości złotych ""tipsów"", dzięki którym uzyskiwany susz ma niespotykany złocisto-bursztynowy odcień. Uzyskany napar jest mocny i aromatyczny, a smak wytrawny doceniany przez smakoszy.";1;http://localhost/images/product_images/goldenyunnan/img_0.jpg;1
